Date,Event,Model
2023-01-01,Max Capacity,Current
2023-01-02,Max Capacity,Current
2023-01-03,Max Capacity,Current
2023-01-04,Max Capacity,Current
2023-01-05,Max Capacity,Current
2023-01-06,Max Capacity,Current
2023-01-07,Max Capacity,Current
2023-01-08,Max Capacity,Current
2023-01-09,Max Capacity,Current
2023-01-10,Max Capacity,Current
2023-01-11,Max Capacity,Current
2023-01-15,Max Capacity,Current
2023-01-16,Max Capacity,Current
2023-01-17,Max Capacity,Current
2023-01-18,Max Capacity,Current
2023-01-22,Max Capacity,Current
2023-01-23,Max Capacity,Current
2023-01-27,Max Capacity,Current
2023-01-28,Max Capacity,Current
2023-01-29,Max Capacity,Current
2023-01-30,Max Capacity,Current
2023-01-31,Turn Away,Optimized
2023-01-31,Max Capacity,Current
2023-02-01,Turn Away,Optimized
2023-02-01,Max Capacity,Current
2023-02-02,Max Capacity,Current
2023-02-02,Turn Away,Optimized
2023-02-03,Turn Away,Optimized
2023-02-03,Max Capacity,Current
2023-02-04,Turn Away,Optimized
2023-02-05,Max Capacity,Current
2023-02-06,Max Capacity,Current
2023-02-09,Turn Away,Optimized
2023-02-10,Turn Away,Optimized
2023-02-11,Max Capacity,Current
2023-02-11,Turn Away,Optimized
2023-02-12,Max Capacity,Current
2023-02-13,Max Capacity,Current
2023-02-18,Max Capacity,Current
2023-02-19,Max Capacity,Current
2023-02-20,Max Capacity,Current
2023-02-21,Max Capacity,Current
2023-02-22,Max Capacity,Current
2023-02-24,Max Capacity,Current
2023-02-24,Turn Away,Optimized
2023-02-25,Max Capacity,Current
2023-02-26,Max Capacity,Current
2023-02-27,Max Capacity,Current
2023-02-28,Max Capacity,Current
2023-03-01,Max Capacity,Current
2023-03-04,Max Capacity,Current
2023-03-05,Max Capacity,Current
2023-03-06,Max Capacity,Current
2023-03-15,Max Capacity,Current
2023-03-16,Max Capacity,Current
2023-03-17,Max Capacity,Current
2023-03-19,Max Capacity,Current
2023-03-20,Max Capacity,Current
2023-03-22,Max Capacity,Current
2023-04-07,Max Capacity,Current
2023-04-08,Max Capacity,Current
2023-04-09,Max Capacity,Current
2023-04-10,Max Capacity,Current
2023-04-11,Max Capacity,Current
2023-04-14,Max Capacity,Current
2023-04-15,Max Capacity,Current
2023-04-16,Max Capacity,Current
2023-04-18,Max Capacity,Current
2023-04-19,Max Capacity,Current
2023-04-22,Max Capacity,Current
2023-04-23,Max Capacity,Current
2023-04-24,Max Capacity,Current
2023-04-26,Max Capacity,Current
2023-04-27,Max Capacity,Current
2023-04-28,Max Capacity,Current
2023-04-29,Max Capacity,Current
2023-04-30,Max Capacity,Current
2023-05-01,Max Capacity,Current
2023-05-02,Max Capacity,Current
2023-05-03,Max Capacity,Current
2023-05-04,Max Capacity,Current
2023-05-05,Max Capacity,Current
2023-05-06,Max Capacity,Current
2023-05-07,Max Capacity,Current
2023-05-08,Max Capacity,Current
2023-05-09,Max Capacity,Current
2023-05-10,Max Capacity,Current
2023-05-11,Max Capacity,Current
2023-05-12,Max Capacity,Current
2023-05-13,Max Capacity,Current
2023-05-14,Max Capacity,Current
2023-05-15,Max Capacity,Current
2023-05-16,Max Capacity,Current
2023-05-17,Max Capacity,Current
2023-05-18,Max Capacity,Current
2023-05-21,Max Capacity,Current
2023-05-22,Max Capacity,Current
2023-05-24,Max Capacity,Current
2023-05-25,Max Capacity,Current
2023-05-26,Max Capacity,Current
2023-05-27,Max Capacity,Current
2023-05-28,Max Capacity,Current
2023-05-29,Max Capacity,Current
2023-05-30,Max Capacity,Current
2023-05-31,Max Capacity,Current
2023-06-01,Max Capacity,Current
2023-06-02,Max Capacity,Current
2023-06-02,Turn Away,Optimized
2023-06-03,Max Capacity,Current
2023-06-04,Max Capacity,Current
2023-06-05,Max Capacity,Current
2023-06-07,Turn Away,Optimized
2023-06-07,Max Capacity,Current
2023-06-09,Turn Away,Optimized
2023-06-11,Max Capacity,Current
2023-06-12,Max Capacity,Current
2023-06-15,Max Capacity,Current
2023-06-16,Max Capacity,Current
2023-06-17,Max Capacity,Current
2023-06-18,Max Capacity,Current
2023-06-19,Max Capacity,Current
2023-06-20,Max Capacity,Current
2023-06-21,Max Capacity,Current
2023-06-22,Max Capacity,Current
2023-06-23,Max Capacity,Current
2023-06-24,Max Capacity,Current
2023-06-25,Max Capacity,Current
2023-06-26,Max Capacity,Current
2023-06-27,Max Capacity,Current
2023-06-28,Max Capacity,Current
2023-06-29,Max Capacity,Current
2023-07-04,Max Capacity,Current
2023-07-05,Max Capacity,Current
2023-07-06,Max Capacity,Current
2023-07-07,Turn Away,Optimized
2023-07-07,Max Capacity,Current
2023-07-08,Max Capacity,Current
2023-07-09,Max Capacity,Current
2023-07-10,Max Capacity,Current
2023-07-15,Max Capacity,Current
2023-07-16,Max Capacity,Current
2023-07-17,Max Capacity,Current
2023-08-20,Max Capacity,Current
2023-08-21,Max Capacity,Current
2023-08-26,Max Capacity,Current
2023-08-27,Max Capacity,Current
2023-08-28,Max Capacity,Current
2023-09-10,Max Capacity,Current
2023-09-11,Max Capacity,Current
2023-09-15,Max Capacity,Current
2023-09-16,Max Capacity,Current
2023-09-17,Max Capacity,Current
2023-09-18,Max Capacity,Current
2023-10-01,Max Capacity,Current
2023-10-02,Max Capacity,Current
2023-10-07,Max Capacity,Current
2023-10-08,Max Capacity,Current
2023-10-09,Max Capacity,Current
2023-10-15,Max Capacity,Current
2023-10-16,Max Capacity,Current
2023-10-17,Max Capacity,Current
2023-10-19,Max Capacity,Current
2023-10-29,Max Capacity,Current
2023-10-30,Max Capacity,Current
2023-10-31,Max Capacity,Current
2023-11-01,Max Capacity,Current
2023-11-02,Max Capacity,Current
2023-11-03,Max Capacity,Current
2023-11-04,Max Capacity,Current
2023-11-05,Max Capacity,Current
2023-11-06,Max Capacity,Current
2023-11-07,Max Capacity,Current
2023-11-08,Max Capacity,Current
2023-11-09,Max Capacity,Current
2023-11-11,Max Capacity,Current
2023-11-12,Max Capacity,Current
2023-11-13,Max Capacity,Current
2023-11-14,Max Capacity,Current
2023-11-15,Max Capacity,Current
2023-11-18,Max Capacity,Current
2023-11-19,Max Capacity,Current
2023-11-20,Max Capacity,Current
2023-11-22,Max Capacity,Current
2023-11-25,Max Capacity,Current
2023-11-26,Max Capacity,Current
2023-11-27,Max Capacity,Current
2023-11-28,Max Capacity,Current
2023-12-01,Max Capacity,Current
2023-12-02,Max Capacity,Current
2023-12-03,Max Capacity,Current
2023-12-04,Max Capacity,Current
2023-12-07,Max Capacity,Current
2023-12-13,Max Capacity,Current
2023-12-14,Max Capacity,Current
2023-12-15,Max Capacity,Current
2023-12-18,Max Capacity,Current
2023-12-19,Max Capacity,Current
2023-12-21,Max Capacity,Current
2023-12-28,Max Capacity,Current
2023-12-29,Max Capacity,Current
2024-01-02,Max Capacity,Current
2024-01-05,Max Capacity,Current
2024-01-06,Max Capacity,Current
2024-01-07,Max Capacity,Current
2024-01-08,Max Capacity,Current
2024-01-10,Max Capacity,Current
2024-01-16,Max Capacity,Current
2024-01-17,Max Capacity,Current
2024-01-25,Max Capacity,Current
2024-02-03,Max Capacity,Current
2024-02-04,Max Capacity,Current
2024-02-18,Max Capacity,Current
2024-02-19,Max Capacity,Current
2024-02-20,Max Capacity,Current
2024-02-23,Max Capacity,Current
2024-02-24,Max Capacity,Current
2024-02-25,Max Capacity,Current
2024-02-26,Max Capacity,Current
2024-02-27,Max Capacity,Current
2024-03-03,Max Capacity,Current
2024-03-04,Max Capacity,Current
2024-03-19,Max Capacity,Current
2024-04-04,Max Capacity,Current
