Day,Single Room E,Single Room F,Total Single Room Patients,Double Room Patients,Total Patients for Day,Closed Rooms
Monday,10,1,11,2,13,0
Tuesday,6,7,13,0,13,0
Wednesday,6,5,11,1,12,0
Thursday,4,4,8,5,13,0
Friday,5,6,11,4,15,0
Saturday,8,3,11,4,15,0
Sunday,8,3,11,4,15,0
Monday,8,3,11,4,15,0
Tuesday,8,2,10,4,14,0
Wednesday,8,2,10,5,15,0
Thursday,7,2,9,5,14,0
Friday,6,2,8,6,14,0
Saturday,7,2,9,6,15,0
Sunday,7,2,9,6,15,0
Monday,7,2,9,6,15,0
Tuesday,7,2,9,7,16,0
Wednesday,7,2,9,8,17,0
Thursday,8,0,8,7,15,0
Friday,5,0,5,11,16,2
Saturday,6,0,6,12,18,2
Sunday,6,0,6,12,18,2
Monday,5,0,5,13,18,2
Tuesday,7,0,7,10,17,2
Wednesday,8,0,8,8,16,0
Thursday,8,0,8,9,17,0
Friday,8,0,8,7,15,2
Saturday,9,0,9,5,14,2
Sunday,8,0,8,7,15,2
Monday,9,0,9,6,15,2
Tuesday,9,0,9,6,15,2
Wednesday,8,0,8,8,16,2
Thursday,7,0,7,6,13,2
Friday,8,0,8,8,16,2
Saturday,8,4,12,1,13,0
Sunday,8,4,12,1,13,0
Monday,9,2,11,2,13,2
Tuesday,5,1,6,5,11,2
Wednesday,5,1,6,4,10,2
Thursday,6,0,6,5,11,2
Friday,5,1,6,9,15,2
Saturday,4,1,5,9,14,2
Sunday,5,1,6,10,16,2
Monday,5,1,6,10,16,2
Tuesday,7,1,8,7,15,2
Wednesday,7,1,8,5,13,0
Thursday,6,1,7,5,12,0
Friday,6,1,7,8,15,0
Saturday,8,1,9,6,15,0
Sunday,8,1,9,7,16,0
Monday,9,0,9,7,16,0
Tuesday,9,0,9,7,16,0
Wednesday,9,0,9,6,15,0
Thursday,7,0,7,10,17,0
Friday,8,0,8,10,18,0
Saturday,8,0,8,9,17,0
Sunday,8,0,8,10,18,0
Monday,8,0,8,10,18,0
Tuesday,8,0,8,9,17,0
Wednesday,6,0,6,7,13,0
Thursday,6,0,6,5,11,0
Friday,6,0,6,8,14,0
Saturday,6,0,6,7,13,0
Sunday,7,0,7,11,18,0
Monday,7,0,7,11,18,0
Tuesday,5,0,5,11,16,0
Wednesday,7,0,7,9,16,0
Thursday,7,0,7,7,14,0
Friday,4,0,4,5,9,0
Saturday,5,0,5,5,10,0
Sunday,5,0,5,6,11,0
Monday,5,0,5,7,12,0
Tuesday,6,0,6,9,15,0
Wednesday,4,0,4,11,15,0
Thursday,3,0,3,7,10,0
Friday,3,0,3,8,11,0
Saturday,4,0,4,8,12,0
Sunday,5,0,5,7,12,0
Monday,5,0,5,11,16,0
Tuesday,8,0,8,9,17,0
Wednesday,7,0,7,9,16,0
Thursday,6,0,6,11,17,0
Friday,5,0,5,11,16,0
Saturday,6,0,6,12,18,0
Sunday,6,0,6,12,18,0
Monday,6,0,6,12,18,0
Tuesday,7,0,7,8,15,0
Wednesday,6,0,6,8,14,0
Thursday,6,0,6,8,14,0
Friday,5,0,5,6,11,0
Saturday,5,0,5,6,11,0
Sunday,5,0,5,6,11,0
Monday,5,0,5,6,11,0
Tuesday,4,0,4,8,12,0
Wednesday,6,0,6,9,15,0
Thursday,10,0,10,6,16,0
Friday,7,0,7,7,14,0
Saturday,9,0,9,5,14,0
Sunday,9,0,9,5,14,0
Monday,9,0,9,5,14,0
Tuesday,8,0,8,4,12,0
Wednesday,8,0,8,6,14,0
Thursday,6,0,6,6,12,0
Friday,3,0,3,5,8,0
Saturday,2,0,2,8,10,0
Sunday,4,0,4,8,12,0
Monday,4,0,4,8,12,0
Tuesday,5,0,5,7,12,0
Wednesday,6,0,6,8,14,0