Date,May,,Census,Sits,Held Beds,Held Due To Covid Swab/Quarantine,Closed Beds,Daily Admits from CIU,Daily Admits from CL,Daily Admits from ED,Daily Admits from OSH,Total Daily Admits,Daily Readmits,Total Daily Discharges,,,
5/1/24,1,Wednesday,10,3,7,0,0,1,1,1,0,3,1,0,2:1 sit,,
5/2/24,2,Thursday,12,4,7,0,0,0,0,1,0,1,0,0,2:1 sit,,
5/3/24,3,Friday,13,4,7,0,0,1,0,1,0,2,0,1,2:1 sit,,
5/4/24,4,Saturday,14,3,8,0,0,0,0,0,0,0,0,0,,,
5/5/24,5,Sunday,14,4,8,0,0,0,0,0,0,0,0,0,,,
5/6/24,6,Monday,14,4,8,0,0,0,0,5,0,5,0,4,,,
5/7/24,7,Tuesday,15,4,7,0,0,0,0,1,0,1,0,1,,,
5/8/24,8,Wednesday,16,4,7,0,0,0,0,1,0,1,0,2,,,
5/9/24,9,Thursday,15,2,8,0,0,0,1,2,0,3,0,3,,,
5/10/24,10,Friday,15,2,8,0,0,1,0,0,0,1,0,1,,,
5/11/24,11,Saturday,15,2,10,0,0,0,0,0,0,0,0,0,,,
5/12/24,12,Sunday,15,2,11,0,0,0,0,0,0,0,0,0,,,
5/13/24,13,Monday,15,2,11,0,0,0,0,3,0,3,0,4,,,
5/14/24,14,Tuesday,14,1,7,0,0,3,0,0,0,3,0,2,,,
5/15/24,15,Wednesday,16,1,8,0,0,2,1,0,0,3,0,3,,,
5/16/24,16,Thursday,16,0,9,0,0,1,0,1,0,2,1,2,,,
5/17/24,17,Friday,15,2,8,0,0,0,0,3,0,3,1,2,,,
5/18/24,18,Saturday,16,4,10,0,0,0,0,0,0,0,0,0,2:1 sit,,
5/19/24,19,Sunday,16,4,10,0,0,0,0,0,0,0,0,0,2:1 sit,,
5/20/24,20,Monday,16,4,10,0,0,0,0,3,0,3,0,6,2:1 sit,,
5/21/24,21,Tuesday,13,5,8,0,2,0,0,0,0,0,0,3,2:1 sit,,
5/22/24,22,Wednesday,11,4,8,0,2,0,0,5,0,5,0,3,2:1 sit,,
5/23/24,23,Thursday,12,3,6,0,2,1,0,2,0,3,0,2,2:1 sit,,
5/24/24,24,Friday,13,4,9,0,2,0,0,3,0,3,0,6,2:1 sit,,
5/25/24,25,Saturday,12,2,6,0,0,0,0,2,0,2,0,0,2:1 sit,,
5/26/24,26,Sunday,12,2,7,0,2,0,0,2,0,2,0,0,2:1 sit,,
5/27/24,27,Monday,15,2,8,0,2,1,0,0,0,1,1,0,2:1 sit,, 
5/28/24,28,Tuesday,15,3,8,0,2,0,1,3,0,4,0,4,2:1 sit,,
5/29/24,29,Wednesday,16,2,7,0,2,1,0,0,0,1,0,5,,,
5/30/24,30,Thursday,12,2,7,0,2,1,0,3,0,4,0,4,2:1 sit,,
5/31/24,31,Friday,11,0,7,0,2,1,0,1,0,2,0,5,,,