Date,Index,day,Census,Sits,Held Beds,Held Due To Covid Swab/Quarantine,Closed Beds,Daily Admits from CIU,Daily Admits from CL,Daily Admits from ED,Daily Admits from OSH,Total Daily Admits,Daily Readmits,Total Daily Discharges
10/1/24,1,Tuesday,11,3,8,0,0,0,1,4,0,5,0,2
10/2/24,2,Wednesday,14,3,7,0,2,0,1,2,0,3,0,2
10/3/24,3,Thursday,15,3,7,0,2,0,0,3,0,3,0,2
10/4/24,4,Friday,16,3,8,0,0,0,0,1,0,1,0,5
10/5/24,5,Saturday,12,2,8,0,0,0,0,0,0,0,0,0
10/6/24,6,Sunday,12,2,8,0,0,0,0,0,0,0,0,0
10/7/24,7,Monday,12,2,8,0,0,0,1,2,0,3,0,2
10/8/24,8,Tuesday,13,3,9,0,0,0,1,0,0,1,0,2
10/9/24,9,Wednesday,12,2,8,0,0,1,1,1,1,4,0,3
10/10/24,10,Thursday,13,2,9,0,2,0,0,1,0,1,0,3
10/11/24,11,Friday,11,1,9,0,2,1,0,4,0,5,0,1
10/12/24,12,Saturday,16,1,9,0,0,1,0,0,0,1,0,0
10/13/24,13,Sunday,16,1,9,0,0,0,0,0,0,0,0,0
10/14/24,14,Monday,16,1,9,0,0,0,0,2,0,2,0,3
10/15/24,15,Tuesday,15,1,8,0,0,0,0,2,0,2,0,3
10/16/24,16,Wednesday,14,1,8,0,0,1,0,2,0,3,1,4
10/17/24,17,Thursday,13,1,9,0,2,0,0,1,0,1,0,1
10/18/24,18,Friday,12,1,7,0,0,0,0,0,1,1,0,3
10/19/24,19,Saturday,12,1,7,0,0,1,0,1,0,2,1,0
10/20/24,20,Sunday,14,1,7,0,0,0,0,2,0,2,0,0
10/21/24,21,Monday,14,1,7,0,0,0,0,2,0,2,0,7
10/22/24,22,Tuesday,9,2,8,0,0,1,1,2,1,5,1,1
10/23/24,23,Wednesday,13,2,8,0,0,0,0,0,0,0,0,0
10/24/24,24,Thursday,13,2,8,0,0,0,3,2,0,5,0,2
10/25/24,25,Friday,16,2,9,0,0,0,0,2,0,2,1,7
10/26/24,26,Saturday,12,1,10,0,0,0,0,1,0,1,0,0
10/27/24,27,Sunday,13,1,10,0,0,1,0,0,0,1,0,0
10/28/24,28,Monday,13,1,10,0,0,0,0,1,1,2,0,6
10/29/24,29,Tuesday,9,1,5,0,0,0,0,4,0,4,0,4
10/30/24,30,Wednesday,9,1,6,0,0,1,0,1,0,2,0,1
10/31/24,31,Thursday,11,1,7,0,0,2,0,3,0,5,0,2