Date,August,,Census,Sits,Held Beds,Held Due To Covid Swab/Quarantine,Closed Beds,Daily Admits from CIU,Daily Admits from CL,Daily Admits from ED,Daily Admits from OSH,Total Daily Admits,Daily Readmits,Total Daily Discharges,,,
8/1/24,1,Thursday,12,1,9,0,0,1,0,1,0,2,0,1,,,
8/2/24,2,Friday,12,1,10,0,0,0,0,0,0,0,0,2,,,
8/3/24,3,Saturday,11,1,10,0,0,0,0,1,0,1,1,0,,,
8/4/24,4,Sunday,12,1,8,0,0,0,0,1,0,1,1,0,,,
8/5/24,5,Monday,12,1,9,0,0,1,0,1,0,2,0,3,,,
8/6/24,6,Tuesday,11,1,8,0,0,0,1,2,0,3,1,0,,,
8/7/24,7,Wednesday,14,1,9,0,0,0,1,0,0,1,0,2,,,
8/8/24,8,Thursday,13,1,7,0,0,0,0,1,0,1,0,3,,,
8/9/24,9,Friday,11,1,5,0,0,1,0,3,0,4,0,2,,,
8/10/24,10,Saturday,14,2,7,0,0,0,0,1,0,1,0,0,,,
8/11/24,11,Sunday,14,2,7,0,2,0,0,0,0,0,0,0,,,
8/12/24,12,Monday,14,2,7,0,2,0,0,2,0,2,0,3,,,
8/13/24,13,Tuesday,13,1,7,0,0,0,0,2,0,2,0,3,,,
8/14/24,14,Wednesday,12,1,9,0,0,1,0,1,0,2,0,6,,,
8/15/24,15,Thursday,8,1,6,0,0,0,0,1,0,1,0,1,,,
8/16/24,16,Friday,8,1,5,0,0,0,0,2,0,2,0,0,,,
8/17/24,17,Saturday,10,1,6,0,0,0,0,0,0,0,0,0,,,
8/18/24,18,Sunday,12,1,7,0,0,0,1,1,0,2,0,0,,,
8/19/24,19,Monday,12,1,7,0,0,0,1,0,0,1,0,5,,,
8/20/24,20,Tuesday,8,1,6,0,2,0,0,2,0,2,0,1,,,
8/21/24,21,Wednesday,9,1,6,0,2,0,0,3,0,3,0,2,,,
8/22/24,22,Thursday,10,1,6,0,2,0,0,5,0,5,0,1,,,
8/23/24,23,Friday,14,1,10,0,0,0,1,1,0,2,0,5,,,
8/24/24,24,Saturday,11,4,10,0,0,0,0,0,0,0,0,0,,,
8/25/24,25,Sunday,11,3,10,0,0,0,0,0,0,0,0,0,,,
8/26/24,26,Monday,11,3,10,0,0,0,0,1,0,1,0,2,,,
8/27/24,27,Tuesday,10,2,9,0,0,0,0,1,0,1,0,1,,, 
8/28/24,28,Wednesday,10,2,9,0,0,0,0,4,1,5,0,4,,,
8/29/24,29,Thursday,11,2,6,0,0,1,0,2,0,3,1,2,,,
8/30/24,30,Friday,13,2,6,0,0,2,0,1,0,3,0,1,,,
8/31/24,31,Saturday,14,2,6,0,0,0,0,0,0,0,0,0,,,