Date,Total_Single_Patients,Double_Room_Patients,Closed_Rooms,Wasted_Beds,Wasted_Potential,Available_Beds,Efficiency
2023-01-01,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-02,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-03,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-04,10.0,6.0,0.0,10,0,26.0,61.53846153846154
2023-01-05,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-06,11.0,4.0,0.0,11,0,26.0,57.692307692307686
2023-01-07,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-08,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-09,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-10,12.0,2.0,0.0,12,0,26.0,53.84615384615385
2023-01-11,13.0,0.0,0.0,13,0,26.0,50.0
2023-01-12,12.0,0.0,0.0,12,0,26.0,53.84615384615385
2023-01-13,12.0,0.0,0.0,12,0,26.0,53.84615384615385
2023-01-14,10.0,3.0,0.0,10,0,26.0,61.53846153846154
2023-01-15,10.0,5.0,0.0,10,0,26.0,61.53846153846154
2023-01-16,10.0,5.0,0.0,10,0,26.0,61.53846153846154
2023-01-17,11.0,3.0,0.0,11,0,26.0,57.692307692307686
2023-01-18,10.0,6.0,0.0,10,0,26.0,61.53846153846154
2023-01-19,4.0,10.0,0.0,4,0,26.0,84.61538461538461
2023-01-20,4.0,12.0,0.0,4,0,26.0,84.61538461538461
2023-01-21,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-01-22,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-23,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-24,4.0,11.0,0.0,4,0,26.0,84.61538461538461
2023-01-25,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-01-26,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-01-27,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-01-28,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-01-29,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-30,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-01-31,4.0,17.0,0.0,4,0,26.0,84.61538461538461
2023-02-01,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-02-02,3.0,19.0,0.0,3,0,26.0,88.46153846153845
2023-02-03,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-02-04,3.0,17.0,0.0,3,0,26.0,88.46153846153845
2023-02-05,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-06,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-07,4.0,11.0,0.0,4,0,26.0,84.61538461538461
2023-02-08,2.0,11.0,0.0,2,0,26.0,92.3076923076923
2023-02-09,2.0,17.0,0.0,2,0,26.0,92.3076923076923
2023-02-10,2.0,19.0,0.0,2,0,26.0,92.3076923076923
2023-02-11,4.0,17.0,0.0,4,0,26.0,84.61538461538461
2023-02-12,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-13,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-14,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-02-15,2.0,12.0,10.0,2,0,16.0,87.5
2023-02-16,5.0,12.0,1.0,5,0,25.0,80.0
2023-02-17,3.0,12.0,0.0,3,0,26.0,88.46153846153845
2023-02-18,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-19,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-20,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-02-21,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-02-22,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-02-23,4.0,16.0,0.0,4,0,26.0,84.61538461538461
2023-02-24,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-02-25,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-02-26,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-02-27,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-02-28,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-03-01,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-02,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-03-03,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-03-04,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-05,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-06,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-07,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-03-08,4.0,13.0,0.0,4,0,26.0,84.61538461538461
2023-03-09,5.0,14.0,0.0,5,0,26.0,80.76923076923077
2023-03-10,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-03-11,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-03-12,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-03-13,8.0,8.0,0.0,8,0,26.0,69.23076923076923
2023-03-14,7.0,9.0,0.0,7,0,26.0,73.07692307692307
2023-03-15,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-03-16,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-03-17,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-03-18,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-03-19,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-03-20,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-03-21,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-03-22,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-03-23,5.0,10.0,0.0,5,0,26.0,80.76923076923077
2023-03-24,7.0,5.0,0.0,7,0,26.0,73.07692307692307
2023-03-25,4.0,10.0,0.0,4,0,26.0,84.61538461538461
2023-03-26,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-03-27,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-03-28,6.0,10.0,0.0,6,0,26.0,76.92307692307693
2023-03-29,6.0,7.0,0.0,6,0,26.0,76.92307692307693
2023-03-30,6.0,9.0,0.0,6,0,26.0,76.92307692307693
2023-03-31,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-04-01,5.0,10.0,0.0,5,0,26.0,80.76923076923077
2023-04-02,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-04-03,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-04-04,4.0,8.0,0.0,4,0,26.0,84.61538461538461
2023-04-05,2.0,13.0,0.0,2,0,26.0,92.3076923076923
2023-04-06,5.0,12.0,0.0,5,0,26.0,80.76923076923077
2023-04-07,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-04-08,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-04-09,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-04-10,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-04-11,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-04-12,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-04-13,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-04-14,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-04-15,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-04-16,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-04-17,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-04-18,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-04-19,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-04-20,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-04-21,5.0,11.0,0.0,5,0,26.0,80.76923076923077
2023-04-22,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2023-04-23,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2023-04-24,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2023-04-25,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-04-26,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-04-27,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-04-28,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-04-29,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-04-30,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-05-01,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-05-02,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-05-03,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-04,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-05-05,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-05-06,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-05-07,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-05-08,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-05-09,9.0,8.0,0.0,9,0,26.0,65.38461538461539
2023-05-10,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-05-11,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-05-12,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-05-13,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-14,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-15,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-16,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-05-17,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-18,6.0,13.0,0.0,6,0,26.0,76.92307692307693
2023-05-19,5.0,12.0,2.0,5,0,24.0,79.16666666666666
2023-05-20,4.0,16.0,0.0,4,0,26.0,84.61538461538461
2023-05-21,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-05-22,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-05-23,4.0,13.0,0.0,4,0,26.0,84.61538461538461
2023-05-24,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-25,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-26,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-05-27,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-28,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-05-29,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-05-30,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-05-31,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-06-01,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-06-02,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-06-03,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-06-04,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-06-05,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-06-06,5.0,13.0,2.0,5,0,24.0,79.16666666666666
2023-06-07,4.0,17.0,0.0,4,0,26.0,84.61538461538461
2023-06-08,3.0,16.0,0.0,3,0,26.0,88.46153846153845
2023-06-09,3.0,17.0,0.0,3,0,26.0,88.46153846153845
2023-06-10,5.0,14.0,0.0,5,0,26.0,80.76923076923077
2023-06-11,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-06-12,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-06-13,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-06-14,5.0,14.0,0.0,5,0,26.0,80.76923076923077
2023-06-15,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-06-16,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-06-17,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-06-18,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-06-19,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-06-20,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-06-21,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-06-22,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-06-23,8.0,10.0,0.0,8,0,26.0,69.23076923076923
2023-06-24,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-06-25,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-06-26,7.0,12.0,0.0,7,0,26.0,73.07692307692307
2023-06-27,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-06-28,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-06-29,5.0,16.0,0.0,5,0,26.0,80.76923076923077
2023-06-30,4.0,15.0,0.0,4,0,26.0,84.61538461538461
2023-07-01,1.0,15.0,0.0,1,0,26.0,96.15384615384616
2023-07-02,1.0,15.0,0.0,1,0,26.0,96.15384615384616
2023-07-03,1.0,15.0,1.0,1,0,25.0,96.0
2023-07-04,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-07-05,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-07-06,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-07-07,4.0,18.0,0.0,4,0,26.0,84.61538461538461
2023-07-08,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-07-09,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-07-10,6.0,14.0,0.0,6,0,26.0,76.92307692307693
2023-07-11,5.0,13.0,2.0,5,0,24.0,79.16666666666666
2023-07-12,6.0,11.0,2.0,6,0,24.0,75.0
2023-07-13,6.0,12.0,0.0,6,0,26.0,76.92307692307693
2023-07-14,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-07-15,8.0,9.0,0.0,8,0,26.0,69.23076923076923
2023-07-16,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-07-17,7.0,11.0,0.0,7,0,26.0,73.07692307692307
2023-07-18,6.0,11.0,0.0,6,0,26.0,76.92307692307693
2023-07-19,7.0,10.0,0.0,7,0,26.0,73.07692307692307
2023-07-20,7.0,8.0,0.0,7,0,26.0,73.07692307692307
2023-07-21,5.0,5.0,0.0,5,0,26.0,80.76923076923077
2023-07-22,5.0,7.0,2.0,5,0,24.0,79.16666666666666
2023-07-23,7.0,5.0,0.0,7,0,26.0,73.07692307692307
2023-07-24,7.0,5.0,0.0,7,0,26.0,73.07692307692307
2023-07-25,5.0,7.0,0.0,5,0,26.0,80.76923076923077
2023-07-26,6.0,10.0,0.0,6,0,26.0,76.92307692307693
2023-07-27,4.0,12.0,0.0,4,0,26.0,84.61538461538461
2023-07-28,4.0,12.0,0.0,4,0,26.0,84.61538461538461
2023-07-29,4.0,8.0,0.0,4,0,26.0,84.61538461538461
2023-07-30,4.0,10.0,0.0,4,0,26.0,84.61538461538461
2023-07-31,5.0,9.0,4.0,5,0,22.0,77.27272727272727
2023-08-01,4.0,7.0,0.0,4,0,26.0,84.61538461538461
2023-08-02,3.0,6.0,0.0,3,0,26.0,88.46153846153845
2023-08-03,1.0,7.0,6.0,1,0,20.0,95.0
2023-08-04,2.0,9.0,4.0,2,0,22.0,90.9090909090909
2023-08-05,2.0,13.0,0.0,2,0,26.0,92.3076923076923
2023-08-06,2.0,13.0,0.0,2,0,26.0,92.3076923076923
2023-08-07,2.0,14.0,0.0,2,0,26.0,92.3076923076923
2023-08-08,3.0,10.0,2.0,3,0,24.0,87.5
2023-08-09,3.0,10.0,2.0,3,0,24.0,87.5
2023-08-10,2.0,9.0,2.0,2,0,24.0,91.66666666666666
2023-08-11,2.0,11.0,2.0,2,0,24.0,91.66666666666666
2023-08-12,3.0,13.0,0.0,3,0,26.0,88.46153846153845
2023-08-13,3.0,16.0,0.0,3,0,26.0,88.46153846153845
2023-08-14,3.0,16.0,0.0,3,0,26.0,88.46153846153845
2023-08-15,7.0,6.0,0.0,7,0,26.0,73.07692307692307
2023-08-16,5.0,9.0,2.0,5,0,24.0,79.16666666666666
2023-08-17,4.0,10.0,0.0,4,0,26.0,84.61538461538461
2023-08-18,4.0,11.0,0.0,4,0,26.0,84.61538461538461
2023-08-19,5.0,13.0,0.0,5,0,26.0,80.76923076923077
2023-08-20,5.0,15.0,0.0,5,0,26.0,80.76923076923077
2023-08-21,5.0,15.0,0.0,5,0,26.0,80.76923076923077
